,2024-12-31 00:00:00,2023-12-31 00:00:00,2022-12-31 00:00:00,2021-12-31 00:00:00,2020-12-31 00:00:00
Ordinary Shares Number,4107412004,4354367488,4354367488,4354367488,
Share Issued,4107412004,4354367488,4354367488,4354367488,
Net Debt,52475772000000,42580383000000,24872938000000,15293047000000,
Total Debt,81292186000000,56683564000000,35689721000000,19918807000000,
Tangible Book Value,201156281000000,177613264000000,142894709000000,122104714000000,
Invested Capital,283891536000000,235985357000000,180902996000000,144660306000000,
Working Capital,6946633000000,31267358000000,8772846000000,19036347000000,
Net Tangible Assets,201156281000000,177613264000000,142894709000000,122104714000000,
Capital Lease Obligations,36291000000,0,,,
Common Stock Equity,202635641000000,179301793000000,145213275000000,124741499000000,
Total Capitalization,249622824000000,217695716000000,166089577000000,144409486000000,
Total Equity Gross Minority Interest,220743975000000,182636306000000,148521843000000,131407411000000,
Minority Interest,18108334000000,3334513000000,3308568000000,6665912000000,
Stockholders Equity,202635641000000,179301793000000,145213275000000,124741499000000,
Treasury Stock,,,,0,5549929000000
Retained Earnings,167205815000000,133391779000000,99933635000000,79413446000000,
Additional Paid In Capital,-6755610000000,1260023000000,1260023000000,1260023000000,
Capital Stock,41074120000000,43543675000000,43543675000000,43543675000000,
Common Stock,41074120000000,43543675000000,43543675000000,43543675000000,
Total Liabilities Net Minority Interest,343465385000000,261994369000000,213290804000000,99109060000000,
Total Non Current Liabilities Net Minority Interest,64933090000000,50921138000000,25528421000000,23708402000000,
Non Current Accrued Expenses,305477000000,439724000000,414597000000,1638709000000,
Tradeand Other Payables Non Current,13380384000000,7770480000000,267921000000,222517000000,
Non Current Deferred Revenue,497493000000,770863000000,917180000000,1251448000000,
Non Current Deferred Taxes Liabilities,1464041000000,1168679000000,926018000000,608707000000,
Long Term Debt And Capital Lease Obligation,47015689000000,38393923000000,20876302000000,19667987000000,
Long Term Capital Lease Obligation,28506000000,0,,,
Long Term Debt,46987183000000,38393923000000,20876302000000,19667987000000,
Long Term Provisions,2270006000000,2377469000000,2126403000000,319034000000,
Current Liabilities,278532295000000,211073231000000,187762383000000,75400658000000,
Current Debt And Capital Lease Obligation,34276497000000,18289641000000,14813419000000,250820000000,
Current Capital Lease Obligation,7785000000,0,,,
Current Debt,34268712000000,18289641000000,14813419000000,250820000000,
Current Provisions,483427000000,229477000000,51349000000,1201109000000,
Payables,40664443000000,43462398000000,39470737000000,48206400000000,
Other Payable,5429935000000,7310630000000,6117979000000,31905317000000,
Total Tax Payable,15274556000000,15699414000000,18321324000000,3794450000000,
Accounts Payable,19959952000000,20452354000000,15031434000000,12506633000000,
Total Assets,564209360000000,444630675000000,361812647000000,230516471000000,
Total Non Current Assets,278730432000000,202290086000000,165277418000000,136079466000000,
Other Non Current Assets,330000000000,-2000000,-1628000000,41882440000000,
Non Current Prepaid Assets,2875918000000,1906934000000,1954686000000,1725206000000,
Non Current Deferred Taxes Assets,1182429000000,995119000000,1297097000000,556352000000,
Investmentin Financial Assets,40175849000000,67693078000000,55085986000000,119680000000,
Held To Maturity Securities,34154000000,0,99680000000,119680000000,
Available For Sale Securities,40141695000000,67693078000000,54986306000000,41583352000000,
Long Term Equity Investment,12484916000000,7760265000000,7391645000000,10820712000000,
Investments In Other Ventures Under Equity Method,12294236000000,7572796000000,7244388000000,7263751000000,
Investmentsin Associatesat Cost,190680000000,187469000000,147257000000,3556961000000,
Investment Properties,16916463000000,17036905000000,15523727000000,12078894000000,
Goodwill And Other Intangible Assets,1479360000000,1688529000000,2318566000000,2636785000000,
Other Intangible Assets,997482000000,1052378000000,1114657000000,1226456000000,
Goodwill,481878000000,636151000000,1203909000000,1410329000000,
Net PPE,95615177000000,71409138000000,58908485000000,51304254000000,
Accumulated Depreciation,-2411803000000,-1642684000000,-1044440000000,-585058000000,
Gross PPE,98026980000000,73051822000000,59952925000000,51889312000000,
Construction In Progress,81990475000000,60790104000000,50683336000000,45032886000000,
Other Properties,78336000000,32034000000,32150000000,6856426000000,
Machinery Furniture Equipment,6994512000000,3570201000000,2606842000000,2300931000000,
Buildings And Improvements,8963657000000,8659483000000,6630597000000,4524843000000,
Properties,0,0,0,0,
Current Assets,285478928000000,242340589000000,196535229000000,94437005000000,
Other Current Assets,,,,16496169000000,
Restricted Cash,,,,640755000000,612730000000
Prepaid Assets,119541128000000,102827701000000,77439508000000,11494457000000,
Inventory,54696048000000,55317712000000,64362407000000,28578815000000,
Other Inventories,1163707000000,1204710000000,547506000000,572059000000,
Finished Goods,53532341000000,54113002000000,63814901000000,28006756000000,
Work In Process,0,0,0,24830175000000,
Other Receivables,31166661000000,16058755000000,9004638000000,12137830000000,
Taxes Receivable,1284164000000,914499000000,499481000000,455999000000,
Accounts Receivable,18111523000000,14708203000000,14562823000000,15027776000000,
Allowance For Doubtful Accounts Receivable,-47121000000,,,,
Gross Accounts Receivable,19365286000000,,,,
Cash Cash Equivalents And Short Term Investments,60015769000000,51889613000000,30148128000000,9605204000000,
Other Short Term Investments,31235646000000,37786432000000,19331345000000,4979444000000,
Cash And Cash Equivalents,28780123000000,14103181000000,10816783000000,4625760000000,
Cash Equivalents,7146307000000,981350000000,8971881000000,4035892000000,
Cash Financial,21633816000000,13121831000000,1844902000000,589868000000,
