,2024-12-31 00:00:00,2023-12-31 00:00:00,2022-12-31 00:00:00,2021-12-31 00:00:00,2020-12-31 00:00:00
Free Cash Flow,-33044621000000,-8470987000000,13221140000000,-824253000000,
Repurchase Of Capital Stock,-10485188000000,0,,0,-848308000000
Repayment Of Debt,-57737006000000,-32712229000000,-13876813000000,-19301251000000,
Issuance Of Debt,80497407000000,53107991000000,24760212000000,13819877000000,
Issuance Of Capital Stock,22000000000,5700000000,0,6514952000000,
Capital Expenditure,-10645071000000,-9987878000000,-18299050000000,-17897772000000,
End Cash Position,28780123000000,14103181000000,10816783000000,4625760000000,
Beginning Cash Position,14103181000000,10816783000000,4625760000000,13713651000000,
Effect Of Exchange Rate Changes,,0,0,0,0
Changes In Cash,14676942000000,3286398000000,6191023000000,-9087891000000,
Financing Cash Flow,11691977000000,20401462000000,1499654000000,-4165146000000,
Cash Dividends Paid,-605236000000,,-9383745000000,-5198724000000,-217694000000
Common Stock Dividend Paid,-605236000000,0,-9383745000000,-5198724000000,
Net Common Stock Issuance,-10463188000000,5700000000,0,6514952000000,
Common Stock Payments,-10485188000000,0,,0,-848308000000
Common Stock Issuance,22000000000,5700000000,0,6514952000000,
Net Issuance Payments Of Debt,22760401000000,20395762000000,10883399000000,-5481374000000,
Net Long Term Debt Issuance,22760401000000,20395762000000,10883399000000,-5481374000000,
Long Term Debt Payments,-57737006000000,-32712229000000,-13876813000000,-19301251000000,
Long Term Debt Issuance,80497407000000,53107991000000,24760212000000,13819877000000,
Investing Cash Flow,25384515000000,-18631955000000,-26828821000000,-21996264000000,
Interest Received Cfi,15613124000000,8676566000000,5339217000000,3822950000000,
Net Investment Purchase And Sale,,,,,-32170231000000
Sale Of Investment,,,,,21317425000000
Purchase Of Investment,,,,,-53487656000000
Net Business Purchase And Sale,27447993000000,-20239513000000,-16404247000000,-3999936000000,
Sale Of Business,65870603000000,25936626000000,38362523000000,7582472000000,
Purchase Of Business,-38422610000000,-46176139000000,-54766770000000,-11582408000000,
Net PPE Purchase And Sale,-8175303000000,-7213210000000,-18250794000000,-17851459000000,
Sale Of PPE,2469768000000,2774668000000,48256000000,46313000000,
Purchase Of PPE,-10645071000000,-9987878000000,-18299050000000,-17897772000000,
Operating Cash Flow,-22399550000000,1516891000000,31520190000000,17073519000000,
Taxes Refund Paid,-10891805000000,-5812208000000,-4135049000000,-9751018000000,
Interest Paid Cfo,-6976847000000,-4176671000000,-3768556000000,-2386255000000,
Change In Working Capital,-30646014000000,-19597570000000,10088275000000,-15160087000000,
Change In Other Current Assets,-1500000000000,2352947000000,-26395000000,-1967230000000,
Change In Payable,59350686000000,24225002000000,94860621000000,-21599280000000,
Change In Prepaid Assets,-674134000000,3567140000000,-3998609000000,796778000000,
Change In Inventory,7568800000000,-977614000000,-30770024000000,15113996000000,
Change In Receivables,-95391366000000,-48765045000000,-49977318000000,-7504351000000,
Other Non Cash Items,7589251000000,3052805000000,2075514000000,2348161000000,
Provisionand Write Offof Assets,205980000000,153498000000,1114361000000,519326000000,
Depreciation And Amortization,1800478000000,1436293000000,1216548000000,1087692000000,
Depreciation,1800478000000,1436293000000,1216548000000,1087692000000,
Gain Loss On Investment Securities,-24574340000000,-17006296000000,-13710128000000,-7761492000000,
Net Foreign Currency Exchange Gain Loss,245798000000,156755000000,-3474000000,-5785000000,
Net Income From Continuing Operations,40847949000000,43310285000000,38642699000000,48182977000000,
