,2024-12-31 00:00:00,2023-12-31 00:00:00,2022-12-31 00:00:00,2021-12-31 00:00:00,2020-12-31 00:00:00
Tax Effect Of Unusual Items,58178834705.311646,-55636725735.007286,-458010345849.57434,-5085751871.745077,
Tax Rate For Calcs,0.141384,0.225753,0.245353,0.191655,
Normalized EBITDA,51005217000000,49301626000000,43801500000000,51645366000000,
Total Unusual Items,411494000000,-246450000000,-1866739000000,-26536000000,
Total Unusual Items Excluding Goodwill,411494000000,-246450000000,-1866739000000,-26536000000,
Net Income From Continuing Operation Net Minority Interest,31801258000000,33371406000000,28830869000000,38824562000000,
Reconciled Depreciation,1800478000000,1436293000000,1216548000000,1087692000000,
Reconciled Cost Of Revenue,69355949000000,67850123000000,31696276000000,36526042000000,
EBITDA,51416711000000,49055176000000,41934761000000,51618830000000,
EBIT,49616233000000,47618883000000,40718213000000,50531138000000,
Net Interest Income,-4160066000000,2773194000000,61236000000,-3327082000000,
Interest Expense,8768284000000,4308598000000,2075514000000,2348161000000,
Interest Income,6658374000000,6409273000000,2820346000000,1477255000000,
Normalized Income,31447942834705.312,33562219274264.992,30239597654150.426,38846012248128.26,
Net Income From Continuing And Discontinued Operation,31801258000000,33371406000000,28830869000000,38824562000000,
Total Expenses,77740417000000,75605850000000,36155317000000,40447832000000,
Rent Expense Supplemental,604295000000,487538000000,727158000000,652331000000,
Total Operating Income As Reported,40942908000000,44045413000000,37973052000000,47664942000000,
Diluted Average Shares,4328052559,4354367488,4354367488,4306713063,
Basic Average Shares,4328052559,4354367488,4354367488,4306713063,
Diluted EPS,7348,7664,6621,9015,
Basic EPS,7348,7664,6621,9015,
Diluted NI Availto Com Stockholders,31801258000000,33371406000000,28830869000000,38824562000000,
Average Dilution Earnings,0,0,,,
Net Income Common Stockholders,31801258000000,33371406000000,28830869000000,38824562000000,
Otherunder Preferred Stock Dividend,0,0,0,0,
Net Income,31801258000000,33371406000000,28830869000000,38824562000000,
Minority Interests,-3271428000000,-161470000000,-330721000000,-123916000000,
Net Income Including Noncontrolling Interests,35072686000000,33532876000000,29161590000000,38948478000000,
Net Income Continuous Operations,35072686000000,33532876000000,29161590000000,38948478000000,
Tax Provision,5775263000000,9777409000000,9481109000000,9234499000000,
Pretax Income,40847949000000,43310285000000,38642699000000,48182977000000,
Other Non Operating Income Expenses,384585000000,490397000000,894636000000,544571000000,
Special Income Charges,751512000000,357066000000,-225301000000,-26536000000,
Other Special Charges,-699489000000,-30268000000,225301000000,26536000000,
Write Off,-52023000000,-326798000000,,,
Net Non Operating Interest Income Expense,-4160066000000,2773194000000,61236000000,-3327082000000,
Total Other Finance Cost,2050156000000,-672519000000,683596000000,2456176000000,
Interest Expense Non Operating,8768284000000,4308598000000,2075514000000,2348161000000,
Interest Income Non Operating,6658374000000,6409273000000,2820346000000,1477255000000,
Operating Income,24582769000000,27950872000000,26237286000000,44537774000000,
Operating Expense,8384468000000,7755727000000,4459041000000,3921790000000,
Other Operating Expenses,297826000000,450390000000,380768000000,107445000000,
Depreciation And Amortization In Income Statement,192521000000,235977000000,243828000000,253045000000,
Depreciation Income Statement,192521000000,235977000000,243828000000,253045000000,
Selling General And Administration,7038302000000,6620747000000,3228393000000,3148669000000,
Selling And Marketing Expense,3086218000000,3054703000000,794696000000,673116000000,
General And Administrative Expense,3952084000000,3566044000000,2433697000000,2475553000000,
Rent And Landing Fees,,141478000000,195028000000,107445000000,147194000000
Gross Profit,32967237000000,35706599000000,30696327000000,48459564000000,
Cost Of Revenue,69355949000000,67850123000000,31696276000000,36526042000000,
Total Revenue,102323186000000,103556722000000,62392603000000,84985606000000,
Operating Revenue,102323186000000,103556722000000,62392603000000,84985606000000,
